机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
300.014648	238.125	0.104601	12.15592	-0.209871	-0.006033	357.919922	-1	0	0	0	0	0.105703	0.104253	-0.209956	0
300.014648	238.125	0.277247	12.16278	-0.390913	0.008518	357.919922	-3	0	0	0	0	0.213662	0.176763	-0.390425	0
300.003662	237.971191	0.249522	12.16278	-0.332436	-0.005353	357.919922	-1	0	0	0	0	0.189492	0.178374	-0.367867	0
300.014648	238.125	0.22457	12.14906	-0.36788	-0.00562	357.919922	-1	0	0	0	0	0.195938	0.191265	-0.387202	0
300.003662	237.971191	0.202113	12.15592	-0.284127	-0.003642	357.919922	-1	0	0	0	0	0.173379	0.163872	-0.337251	0
300.014648	238.125	-0.001204	12.16278	-0.266268	-0.006948	357.919922	-3	0	0	0	0	0.134707	0.131646	-0.266353	0
299.992676	237.817383	-0.184189	12.15592	-0.295139	-0.011341	357.919922	-3	0	0	0	0	0.147598	0.147759	-0.295357	0
300.003662	237.971191	0.017335	12.16964	-0.337234	-0.006454	357.919922	-1	0	0	0	0	0.173379	0.163872	-0.337251	0
299.992676	237.817383	0.015602	12.16278	-0.314603	-0.008359	357.919922	-1	0	0	0	0	0.160488	0.154204	-0.314693	0
299.992676	237.817383	0.014042	12.16964	-0.217922	-0.006537	357.919922	-1	0	0	0	0	0.110537	0.107476	-0.218013	0
299.992676	237.817383	0.012638	12.16964	-0.32598	-0.006	357.919922	-1	0	0	0	0	0.168545	0.157427	-0.325972	0
299.981689	237.663574	-0.171732	12.16964	-0.225612	-0.015816	357.919922	-1	0	0	0	0	0.107315	0.118755	-0.22607	0
299.981689	237.663574	-0.154559	12.16964	-0.393734	-0.005916	357.919922	-1	0	0	0	0	0.205606	0.188042	-0.393648	0
299.992676	237.817383	-0.322208	12.16964	-0.377718	-0.002386	357.919922	-3	0	0	0	0	0.19916	0.178374	-0.377534	0
299.992676	237.817383	0.076224	12.16964	-0.345444	-0.003018	357.919922	-1	0	0	0	0	0.181436	0.163872	-0.345308	0
299.981689	237.663574	-0.114504	12.1765	-0.36303	-0.007456	357.919922	-1	0	0	0	0	0.187881	0.175151	-0.363033	0
299.981689	237.663574	-0.286159	12.16964	-0.33443	0.003021	357.919922	-3	0	0	0	0	0.181436	0.152593	-0.334029	0
299.970703	237.509766	-0.074438	12.1765	-0.298617	-0.00563	357.919922	-3	0	0	0	0	0.155654	0.142925	-0.298579	0
299.981689	237.663574	-0.2501	12.1765	-0.251827	-0.005712	357.919922	-1	0	0	0	0	0.129873	0.121978	-0.251851	0
299.970703	237.509766	-0.22509	12.1765	-0.356651	-0.006292	357.919922	-3	0	0	0	0	0.18627	0.170318	-0.356587	0
299.959717	237.355957	-0.202581	12.16964	-0.353242	-0.010818	357.919922	-1	0	0	0	0	0.181436	0.171929	-0.353365	0
299.959717	237.355957	-0.182323	12.16964	-0.330965	-0.004201	357.919922	-3	0	0	0	0	0.17499	0.155816	-0.330806	0
299.970703	237.509766	-0.16409	12.16964	-0.267828	-0.008947	357.919922	-3	0	0	0	0	0.136319	0.131646	-0.267964	0
299.959717	237.355957	-0.147681	12.1765	-0.347061	-0.004945	357.919922	-3	0	0	0	0	0.183047	0.163872	-0.346919	0
299.959717	237.355957	-0.316019	12.1765	-0.386292	0.006282	357.919922	-1	0	0	0	0	0.213662	0.171929	-0.385591	0
299.970703	237.509766	-0.101311	12.1765	-0.357978	-0.012868	357.919922	-3	0	0	0	0	0.181436	0.176763	-0.358199	0
299.970703	237.509766	-0.09118	12.1765	-0.41195	0.00434	357.919922	-3	0	0	0	0	0.224942	0.186431	-0.411372	0
299.959717	237.355957	-0.082062	12.1765	-0.362728	-0.014981	357.919922	-1	0	0	0	0	0.183047	0.179985	-0.363033	0
299.970703	237.509766	-0.256961	12.16964	-0.355081	-0.005293	357.919922	-3	0	0	0	0	0.18627	0.168706	-0.354976	0
299.970703	237.509766	-0.231265	12.16964	-0.334033	-0.007171	357.919922	-1	0	0	0	0	0.173379	0.16065	-0.334029	0
299.981689	237.663574	-0.208139	12.1765	-0.427506	-0.008225	357.919922	-1	0	0	0	0	0.221719	0.205767	-0.427486	0
299.959717	237.355957	-0.004219	12.16964	-0.364638	-0.00855	357.919922	-3	0	0	0	0	0.189492	0.175151	-0.364644	0
299.959717	237.355957	-0.186903	12.1765	-0.267718	-0.011525	357.919922	-1	0	0	0	0	0.134707	0.133257	-0.267964	0
