机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
69.125977	235.817871	0.036093	12.2108	0.150391	-0.001875	348.054199	1	0	0	0	0	-0.086045	-0.063809	0.149853	0
69.136963	235.97168	0.032484	12.21766	-0.033898	-0.000335	348.054199	-1	0	0	0	0	0.018692	0.015146	-0.033838	0
69.136963	235.97168	-0.15387	12.2108	-0.016283	0.001838	348.054199	1	0	0	0	0	0.010635	0.005478	-0.016113	0
69.125977	235.817871	-0.138483	12.21766	-0.031226	0.007231	348.054199	1	0	0	0	0	0.023526	0.00709	-0.030615	0
69.125977	235.817871	-0.30774	12.20394	0.037355	-0.002679	348.054199	1	0	0	0	0	-0.023203	-0.013858	0.03706	0
69.125977	235.817871	-0.276966	12.2108	0.087377	-0.001819	348.054199	-1	0	0	0	0	-0.050596	-0.036416	0.087012	0
69.104004	235.510254	-0.432375	12.2108	0.07468	-0.004214	348.054199	-1	0	0	0	0	-0.045762	-0.028359	0.074121	0
69.104004	235.510254	-0.389138	12.2108	0.015976	0.002374	348.054199	1	0	0	0	0	-0.00709	-0.009024	0.016113	0
69.104004	235.510254	-0.350224	12.21766	0.038611	0.002285	348.054199	1	0	0	0	0	-0.01998	-0.018691	0.038672	0
69.093018	235.356445	-0.498307	12.2108	0.129146	0.002276	348.054199	1	0	0	0	0	-0.071543	-0.057363	0.128906	0
69.093018	235.356445	-0.631582	12.2108	0.004502	0.004286	348.054199	1	0	0	0	0	0.000967	-0.005801	0.004834	0
69.093018	235.356445	-0.568424	12.21766	0.111253	0.003623	348.054199	1	0	0	0	0	-0.060263	-0.050918	0.111182	0
69.071045	235.048828	-0.694687	12.21766	-0.052831	-0.006257	348.054199	1	0	0	0	0	0.025137	0.028037	-0.053174	0
69.082031	235.202637	-0.442113	12.2108	-0.021201	0.002142	348.054199	-1	0	0	0	0	0.013858	0.00709	-0.020947	0
69.071045	235.048828	-0.581007	12.2108	0.021014	0.00014	348.054199	1	0	0	0	0	-0.011924	-0.009024	0.020947	0
69.071045	235.048828	-0.522906	12.19708	-0.002825	-0.004727	348.054199	1	0	0	0	0	-0.002256	0.005478	-0.003223	0
69.071045	235.048828	-0.653721	12.2108	0.016278	-0.001204	348.054199	-1	0	0	0	0	-0.010312	-0.005801	0.016113	0
69.060059	234.89502	-0.95456	12.2108	0.052086	-0.003566	348.054199	-1	0	0	0	0	-0.032871	-0.018691	0.051562	0
69.049072	234.741211	-1.042209	12.2108	0.109689	0.003743	348.054199	1	0	0	0	0	-0.060263	-0.049307	0.10957	0
69.049072	234.741211	-0.937988	12.20394	-0.012598	-0.003775	348.054199	-1	0	0	0	0	0.00419	0.008701	-0.012891	0
69.060059	234.89502	-0.661084	12.2108	-0.000265	0.002965	348.054199	1	0	0	0	0	0.002578	-0.002578	0	0
69.049072	234.741211	-0.778081	12.2108	0.037399	-0.001976	348.054199	-1	0	0	0	0	-0.023203	-0.013858	0.03706	0
69.049072	234.741211	-0.700273	12.20394	0.098713	-0.00007	348.054199	-1	0	0	0	0	-0.057041	-0.04125	0.098291	0
69.049072	234.741211	-0.630246	12.19708	0.011385	-0.000634	348.054199	-1	0	0	0	0	-0.00709	-0.00419	0.011279	0
69.049072	234.741211	-0.567221	12.2108	-0.017667	-0.001439	348.054199	1	0	0	0	0	0.009024	0.008701	-0.017725	0
69.038086	234.587402	-0.693605	12.19708	0.024044	0.002465	348.054199	-1	0	0	0	0	-0.021592	-0.025137	0.046728	0
69.038086	234.587402	-0.624244	12.20394	-0.050975	0.00844	348.054199	-1	0	0	0	0	0.036416	0.013535	-0.049951	0
69.0271	234.433594	-0.56182	12.20394	0.014235	0.003444	348.054199	1	0	0	0	0	-0.005478	-0.009024	0.014502	0
69.016113	234.279785	-0.505638	12.2108	-0.001622	0.000025	348.054199	-1	0	0	0	0	0.000967	0.000644	-0.001611	0
69.038086	234.587402	-0.271968	12.2108	0.032153	-0.005526	348.054199	1	0	0	0	0	-0.003867	0.005478	-0.001611	0
69.038086	234.587402	-0.427877	12.2108	-0.075754	-0.003457	348.054199	-1	0	0	0	0	0.04125	0.034482	-0.075733	0
69.0271	234.433594	-0.568195	12.20394	-0.032363	-0.000163	348.054199	1	0	0	0	0	0.018692	0.013535	-0.032227	0
69.0271	234.433594	-0.511375	12.20394	0.092477	-0.002017	348.054199	1	0	0	0	0	-0.05543	-0.036416	0.091846	0
69.016113	234.279785	-0.277132	12.20394	0.037599	-0.003526	348.054199	1	0	0	0	0	-0.024814	-0.012246	0.03706	0
69.0271	234.433594	-0.432525	12.20394	-0.042958	-0.007738	348.054199	-1	0	0	0	0	0.018692	0.024814	-0.043506	0
69.0271	234.433594	-0.389272	12.20394	-0.035571	-0.000475	348.054199	-1	0	0	0	0	0.020303	0.015146	-0.035449	0
69.016113	234.279785	-0.53345	12.20394	0.113789	-0.004309	348.054199	-1	0	0	0	0	-0.069931	-0.042861	0.112793	0
69.016113	234.279785	-0.297	12.20394	0.074012	0.004796	348.054199	1	0	0	0	0	-0.039316	-0.034805	0.074121	0
69.016113	234.279785	-0.2673	12.2108	0.064948	-0.001722	348.054199	1	0	0	0	0	-0.039316	-0.025137	0.064453	0
69.0271	234.433594	-0.24057	12.20394	-0.046526	-0.004347	348.054199	1	0	0	0	0	0.046084	0.01998	-0.066065	0
69.016113	234.279785	-0.399618	12.20394	0.008183	-0.000863	348.054199	-1	0	0	0	0	-0.005478	-0.002578	0.008057	0
69.016113	234.279785	-0.359657	12.2108	0.088905	0.001613	348.054199	1	0	0	0	0	-0.018369	-0.012246	0.030615	0
69.016113	234.279785	-0.506796	12.19708	0.005533	-0.006738	348.054199	-1	0	0	0	0	-0.008701	0.003867	0.004834	0
69.005127	234.125977	-0.822328	12.20394	-0.00916	-0.005431	348.054199	1	0	0	0	0	0.000967	0.008701	-0.009668	0
68.994141	233.972168	-0.556989	12.20394	0.050437	-0.001971	348.054199	1	0	0	0	0	-0.03126	-0.018691	0.049951	0
69.016113	234.279785	-0.684396	12.2108	0.024773	-0.004811	348.054199	-1	0	0	0	0	-0.018369	-0.005801	0.02417	0
69.016113	234.279785	-0.799062	12.2108	0.049684	0.005164	348.054199	1	0	0	0	0	-0.024814	-0.025137	0.049951	0
69.016113	234.279785	-0.719156	12.2108	-0.030854	0.000754	348.054199	-1	0	0	0	0	0.018692	0.011924	-0.030615	0
69.016113	234.279785	-0.830346	12.2108	0.020824	0.002273	348.054199	-1	0	0	0	0	-0.010312	-0.010635	0.020947	0
69.005127	234.125977	-0.747311	12.21766	-0.043868	0.001285	348.054199	-1	0	0	0	0	0.026748	0.016758	-0.043506	0
69.016113	234.279785	-0.489474	12.21766	-0.012752	-0.002025	348.054199	-1	0	0	0	0	0.005801	0.00709	-0.012891	0
69.005127	234.125977	-0.440527	12.21766	0.081362	-0.0036	348.054199	1	0	0	0	0	-0.050596	-0.029971	0.080566	0
69.005127	234.125977	-0.57958	12.21766	0.123608	-0.004865	348.054199	-1	0	0	0	0	-0.076377	-0.046084	0.122461	0
69.016113	234.279785	-0.521622	12.21766	-0.018211	0.003973	348.054199	1	0	0	0	0	0.013858	0.003867	-0.017725	0
69.005127	234.125977	-0.286354	12.21766	-0.009541	-0.00173	348.054199	-1	0	0	0	0	0.00419	0.005478	-0.009668	0
69.005127	234.125977	-0.257719	12.2108	-0.082337	-0.002672	348.054199	1	0	0	0	0	0.046084	0.036094	-0.082178	0
69.005127	234.125977	-0.231947	12.22452	-0.011239	-0.000969	348.054199	1	0	0	0	0	0.005801	0.005478	-0.011279	0
69.005127	234.125977	-0.208752	12.21766	-0.048962	0.003567	348.054199	1	0	0	0	0	0.031582	0.016758	-0.04834	0
69.005127	234.125977	-0.370982	12.21766	-0.014635	0.000552	348.054199	1	0	0	0	0	0.009024	0.005478	-0.014502	0
69.005127	234.125977	-0.150779	12.21766	0.084568	-0.00327	348.054199	1	0	0	0	0	-0.052207	-0.031582	0.083789	0
69.005127	234.125977	-0.501912	12.21766	0.021009	0.000478	348.054199	-1	0	0	0	0	-0.011924	-0.009024	0.020947	0
69.005127	234.125977	-0.268615	12.22452	-0.020856	-0.001959	348.054199	1	0	0	0	0	0.010635	0.010312	-0.020947	0
69.016113	234.279785	-0.241754	12.21766	-0.00671	0.00232	348.054199	-1	0	0	0	0	0.005801	0.000644	-0.006445	0
69.005127	234.125977	-0.217578	12.21766	-0.024253	-0.000438	348.054199	1	0	0	0	0	0.013858	0.010312	-0.02417	0
69.005127	234.125977	-0.378926	12.22452	0.105119	0.00165	348.054199	-1	0	0	0	0	-0.060263	-0.044473	0.104736	0
68.994141	233.972168	-0.157928	12.21766	0.077776	-0.000019	348.054199	-1	0	0	0	0	-0.045762	-0.031582	0.077344	0
69.005127	234.125977	-0.142135	12.22452	0.042893	-0.007558	348.054199	-1	0	0	0	0	-0.03126	-0.010635	0.041894	0
69.005127	234.125977	-0.127922	12.21766	0.0972	-0.0001	348.054199	1	0	0	0	0	-0.057041	-0.039639	0.09668	0
69.005127	234.125977	-0.115129	12.21766	0.111912	-0.001392	348.054199	-1	0	0	0	0	-0.066709	-0.044473	0.111182	0
69.005127	234.125977	-0.103616	12.22452	-0.002749	-0.004772	348.054199	-1	0	0	0	0	-0.002256	0.005478	-0.003223	0
68.994141	233.972168	-0.093255	12.22452	0.040627	-0.001136	348.054199	-1	0	0	0	0	-0.024814	-0.015469	0.040283	0
68.994141	233.972168	-0.267035	12.22452	0.050632	-0.003821	348.054199	1	0	0	0	0	-0.032871	-0.01708	0.049951	0
68.994141	233.972168	-0.240331	12.21766	0.069666	0.00006	348.054199	-1	0	0	0	0	-0.040928	-0.028359	0.069287	0
68.983154	233.818359	-0.216298	12.21766	0.069665	0.000247	348.054199	-1	0	0	0	0	-0.040928	-0.028359	0.069287	0
68.983154	233.818359	-0.194668	12.21766	0.066462	-0.0001	348.054199	-1	0	0	0	0	-0.039316	-0.026748	0.066064	0
68.983154	233.818359	-0.358307	12.21766	-0.067803	-0.002478	348.054199	1	0	0	0	0	0.038028	0.029648	-0.067676	0
68.994141	233.972168	-0.322476	12.21766	0.023293	-0.005772	348.054199	1	0	0	0	0	-0.018369	-0.00419	0.022558	0
68.983154	233.818359	-0.473334	12.22452	0.078176	-0.00351	348.054199	1	0	0	0	0	-0.048984	-0.028359	0.077344	0
68.994141	233.972168	-0.05979	12.22452	-0.008813	0.00674	348.054199	1	0	0	0	0	0.010635	-0.002578	-0.008057	0
68.983154	233.818359	-0.053811	12.22452	0.026112	-0.001663	348.054199	-1	0	0	0	0	-0.016758	-0.009024	0.025781	0
68.983154	233.818359	-0.04843	12.2108	-0.017441	-0.003573	348.054199	1	0	0	0	0	0.007412	0.010312	-0.017725	0
68.994141	233.972168	-0.226692	12.21766	0.012897	0.000614	348.054199	1	0	0	0	0	-0.00709	-0.005801	0.012891	0
68.994141	233.972168	-0.020918	12.21766	-0.040471	-0.000344	348.054199	-1	0	0	0	0	0.023526	0.016758	-0.040283	0
68.994141	233.972168	-0.201931	12.23138	-0.063686	0.004688	348.054199	-1	0	0	0	0	0.04125	0.021592	-0.062842	0
68.994141	233.972168	-0.181738	12.22452	0.032713	-0.002907	348.054199	-1	0	0	0	0	-0.021592	-0.010635	0.032226	0
68.994141	233.972168	-0.163564	12.22452	-0.046881	-0.001021	348.054199	-1	0	0	0	0	0.026748	0.01998	-0.046729	0
68.994141	233.972168	0.035898	12.22452	0.024407	-0.000977	348.054199	1	0	0	0	0	-0.015146	-0.009024	0.02417	0
68.994141	233.972168	0.032308	12.21766	0.091181	-0.004217	348.054199	-1	0	0	0	0	-0.057041	-0.033193	0.090234	0
68.983154	233.818359	-0.337134	12.22452	-0.006127	-0.003284	348.054199	1	0	0	0	0	0.000967	0.005478	-0.006445	0
68.994141	233.972168	0.06279	12.21766	-0.019737	0.00278	348.054199	-1	0	0	0	0	0.013858	0.005478	-0.019336	0
68.994141	233.972168	-0.126594	12.22452	0.056065	0.006107	348.054199	-1	0	0	0	0	-0.028037	-0.028359	0.056396	0
68.983154	233.818359	0.069171	12.22452	0.055648	0.009957	348.054199	1	0	0	0	0	-0.024814	-0.031582	0.056396	0
68.983154	233.818359	0.062254	12.21766	0.019103	0.003192	348.054199	1	0	0	0	0	-0.008701	-0.010635	0.019336	0
68.972168	233.664551	0.056028	12.22452	-0.031065	0.002354	348.054199	1	0	0	0	0	0.020303	0.010312	-0.030615	0
68.972168	233.664551	-0.13268	12.21766	0.068371	-0.002518	348.054199	-1	0	0	0	0	-0.042539	-0.025137	0.067676	0
68.972168	233.664551	-0.302517	12.21766	-0.046874	-0.001273	348.054199	-1	0	0	0	0	0.026748	0.01998	-0.046729	0
68.994141	233.972168	-0.08916	12.23138	0.039122	-0.00223	348.054199	-1	0	0	0	0	-0.024814	-0.013858	0.038672	0
68.994141	233.972168	-0.080244	12.22452	-0.011237	-0.000999	348.054199	1	0	0	0	0	0.005801	0.005478	-0.011279	0
68.983154	233.818359	-0.255325	12.22452	0.018702	0.006892	348.054199	-1	0	0	0	0	-0.005478	-0.013858	0.019336	0
68.983154	233.818359	0.136418	12.22452	-0.023849	-0.004267	348.054199	-1	0	0	0	0	0.010635	0.013535	-0.02417	0
