机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
282.073975	354.492188	-277.902496	12.05988	-0.107802	0.181201	5.456543	0	-2	0	0	0	-0.089912	0.210117	-0.120205	0
280.524902	332.805176	-275.380798	12.0736	-0.072629	-0.185839	5.456543	0	-6	0	0	0	-0.149532	-0.039639	0.18917	0
278.876953	309.733887	-274.942322	12.06674	-0.052374	-0.129957	5.456543	0	-2	0	0	0	-0.133418	0.029648	0.10377	0
277.064209	284.355469	-277.294281	12.05988	-0.061622	-0.116958	5.456543	0	-2	0	0	0	-0.128584	0.090879	0.037706	0
275.350342	260.361328	-279.411041	12.05988	-0.064525	-0.008997	5.456543	0	-2	0	0	0	0.001933	0.05543	-0.057363	0
273.570557	235.444336	-281.133026	12.06674	-0.066753	0.095285	5.456543	0	-6	0	0	0	0.116338	-0.057363	-0.058974	0
271.801758	210.681152	-281.584167	12.06674	-0.056144	0.035475	5.456543	0	-6	0	0	0	0.066386	-0.034805	-0.031582	0
270.087891	186.687012	-281.807098	12.05988	-0.065359	-0.028867	5.456543	0	-2	0	0	0	0.061552	0.000644	-0.062197	0
268.363037	162.539063	-282.190857	12.06674	-0.078684	0.018161	5.456543	0	-2	0	0	0	0.069609	-0.070254	0.000645	0
266.737061	139.775391	-282.170013	12.05988	-0.106983	0.143454	5.456543	0	-2	0	0	0	-0.010957	-0.149209	0.160166	0
265.198975	118.242188	-279.953979	12.06674	-0.085774	-0.073182	5.456543	0	-2	0	0	0	0.105058	-0.087979	-0.01708	0
263.594971	95.786133	-277.593353	12.06674	-0.121976	0.088157	5.456543	0	-2	0	0	0	-0.07541	-0.075088	0.150498	0
262.023926	73.791504	-276.384308	12.05988	-0.09829	-0.208456	5.456543	0	-2	0	0	0	0.172734	-0.218496	0.045762	0
260.463867	51.950684	-275.296173	12.06674	-0.115209	-0.133549	5.456543	0	-6	0	0	0	0.03416	-0.166934	0.132774	0
258.760986	28.110352	-276.147888	12.06674	-0.100068	-0.047798	5.456543	0	-2	0	0	0	-0.065742	-0.044473	0.110215	0
257.003174	3.500977	-277.829987	12.06674	-0.105587	-0.095133	5.456543	0	-2	0	0	0	-0.09958	-0.038027	0.137608	0
255.27832	339.353027	-277.879028	12.06674	-0.123807	-0.017822	5.456543	0	-6	0	0	0	-0.122139	0.084433	0.037706	0
253.619385	316.12793	-277.740051	12.06674	-0.11962	-0.005309	5.456543	0	-6	0	0	0	-0.089912	0.113437	-0.023525	0
252.070313	294.440918	-276.882538	12.06674	-0.10422	0.04949	5.456543	0	-2	0	0	0	0.001933	0.098935	-0.100869	0
250.587158	273.676758	-274.096619	12.06674	-0.098924	-0.175776	5.456543	0	-6	0	0	0	-0.181758	0.166611	0.015147	0
249.016113	251.682129	-271.406189	12.06674	-0.037836	-0.122514	5.456543	0	-2	0	0	0	-0.104414	0.11666	-0.012246	0
247.280273	227.380371	-273.196228	12.06674	-0.079373	-0.011288	5.456543	0	-6	0	0	0	0.045439	0.034482	-0.079921	0
245.599365	203.847656	-274.07486	12.05988	-0.097631	0.082826	5.456543	0	-6	0	0	0	0.122783	-0.092813	-0.02997	0
244.039307	182.006836	-273.950073	12.06674	-0.075198	-0.066249	5.456543	0	-6	0	0	0	0.072832	0.023203	-0.096035	0
242.41333	159.243164	-273.654663	12.06674	-0.051946	-0.100272	5.456543	0	-2	0	0	0	0.084111	0.023203	-0.107314	0
240.754395	136.018066	-272.839478	12.05988	-0.057875	-0.017067	5.456543	0	-6	0	0	0	0.053496	-0.050918	-0.002578	0
239.106445	112.946777	-272.838257	12.05988	-0.070772	-0.10512	5.456543	0	-6	0	0	0	0.124394	-0.083145	-0.04125	0
237.425537	89.414063	-270.822998	12.05988	-0.073972	-0.044587	5.456543	0	-2	0	0	0	0.043828	-0.086367	0.04254	0
235.821533	66.958008	-269.558563	12.06674	-0.063812	-0.052006	5.456543	0	-6	0	0	0	0.022881	-0.079922	0.057041	0
234.041748	42.041016	-270.98407	12.06674	-0.083694	0.036635	5.456543	0	-2	0	0	0	-0.08669	0.018369	0.068321	0
232.283936	17.431641	-270.802155	12.06674	-0.056123	-0.185195	5.456543	0	-2	0	0	0	0.001933	-0.168545	0.166612	0
230.559082	353.283691	-270.089111	12.05988	-0.048541	-0.05349	5.456543	0	-6	0	0	0	-0.054463	-0.013858	0.068321	0
228.768311	328.212891	-270.17981	12.06674	-0.062063	0.103818	5.456543	0	-2	0	0	0	0.001933	0.103769	-0.105703	0
227.197266	306.218262	-268.247284	12.08046	-0.037079	0.037542	5.456543	0	-6	0	0	0	0.008379	0.040928	-0.049306	0
225.626221	284.223633	-266.32489	12.06674	-0.029394	-0.123538	5.456543	0	-2	0	0	0	-0.126973	0.061875	0.065098	0
224.077148	262.536621	-263.129913	12.06674	0.008773	-0.15291	5.456543	0	-6	0	0	0	-0.152754	0.086045	0.066709	0
222.39624	239.003906	-262.451691	12.06674	-0.015566	0.09817	5.456543	0	-2	0	0	0	0.092168	-0.078311	-0.013857	0
220.78125	216.394043	-260.925751	12.06674	-0.037156	0.034322	5.456543	0	-6	0	0	0	0.050273	-0.029971	-0.020302	0
219.287109	195.476074	-258.636902	12.06674	0.002605	0.016654	5.456543	0	-2	0	0	0	0.001933	-0.015469	0.013536	0
217.716064	173.481445	-257.858673	12.06674	0.022876	-0.146266	5.456543	0	-2	0	0	0	-0.006123	0.131162	-0.125039	0
216.068115	150.410156	-256.975159	12.06674	0.031047	-0.107539	5.456543	0	-6	0	0	0	0.026103	0.081211	-0.107314	0
