机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
226.911621	283.637695	125.892059	12.05988	0.108479	0.271139	346.875	0	0	0	0	0	0.289072	-0.180469	-0.108604	0
227.790527	295.942383	127.951294	12.05302	0.082983	-0.053989	346.875	0	0	0	0	0	-0.012246	-0.078955	0.091201	0
228.625488	307.631836	128.339752	12.05302	0.060211	-0.120889	346.875	0	4	0	0	0	-0.058975	-0.075732	0.134707	0
229.372559	318.09082	128.506271	12.05302	0.049747	-0.112357	346.875	0	4	0	0	0	-0.038027	-0.082178	0.120205	0
230.08667	328.088379	127.374397	12.05988	0.050344	0.008774	346.875	0	4	0	0	0	0.047373	-0.040283	-0.00709	0
230.789795	337.932129	126.905022	12.05988	0.066605	0.077596	346.875	0	4	0	0	0	0.090879	-0.004834	-0.086045	0
231.525879	348.237305	126.48259	12.05988	0.0615	0.039794	346.875	0	4	0	0	0	0.06832	-0.011279	-0.057041	0
232.23999	358.234863	124.820656	12.05988	0.048113	-0.023275	346.875	0	0	0	0	0	0.047373	-0.045117	-0.002256	0
232.943115	8.078613	124.423553	12.05988	0.055663	0.020664	346.875	0	4	0	0	0	0.052207	-0.001611	-0.050596	0
233.712158	18.845215	124.432373	12.05988	0.08487	0.246665	346.875	0	0	0	0	0	0.000645	0.225586	-0.226231	0
234.569092	30.842285	127.003784	12.05988	0.076872	0.05205	346.875	0	0	0	0	0	0.039317	0.053174	-0.09249	0
235.426025	42.839355	128.768738	12.05302	0.098069	0.192493	346.875	0	0	0	0	0	-0.058975	0.209473	-0.150498	0
236.293945	54.990234	129.441666	12.06674	0.071179	-0.029621	346.875	0	0	0	0	0	0.065098	0.003223	-0.068321	0
237.052002	65.603027	129.497986	12.06674	0.069715	0.027373	346.875	0	0	0	0	0	0.003867	0.062842	-0.066709	0
237.733154	75.13916	128.083832	12.05988	0.054426	0.032113	346.875	0	0	0	0	0	-0.01708	0.061231	-0.044151	0
238.348389	83.752441	125.712463	12.05988	0.062878	-0.006733	346.875	0	0	0	0	0	0.013535	0.046729	-0.060264	0
239.007568	92.980957	124.127548	12.05988	0.064336	0.047637	346.875	0	4	0	0	0	-0.050918	0.078955	-0.028037	0
239.72168	102.978516	123.250435	12.05988	0.095313	0.184068	346.875	0	4	0	0	0	-0.200771	0.14502	0.055752	0
240.545654	114.51416	124.292091	12.05988	0.10971	0.206051	346.875	0	0	0	0	0	-0.232998	0.128906	0.104092	0
241.446533	127.126465	127.060638	12.06674	0.100651	-0.09115	346.875	0	0	0	0	0	0.011924	0.111182	-0.123106	0
