机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
197.512207	242.124023	0.366211	11.75804	-0.002175	-0.015187	356.953125	-0.084988	0	0	0	0	-0.012407	0.01563	-0.003222	0
197.512207	242.124023	0.32959	11.75804	-0.002175	-0.015187	356.953125	-0.060913	0	0	0	0	-0.012407	0.014019	-0.001611	0
197.523193	242.277832	0.479736	11.7649	-0.00551	-0.016912	356.953125	-0.07951	0	0	0	0	-0.009185	0.014019	-0.004834	0
197.53418	242.431641	0.614868	11.75804	0.004104	-0.017307	356.953125	-0.14118	0	0	0	0	-0.01563	0.009185	0.006446	0
197.556152	242.739258	0.919592	11.75118	0.000969	-0.013458	356.953125	-0.134836	0	0	0	0	-0.012407	0.012407	0	0
197.556152	242.739258	0.827633	11.75118	0.0041	-0.015471	356.953125	-0.109998	0	0	0	0	-0.01563	0.010796	0.004834	0
197.578125	243.046875	0.74487	11.75804	-0.005638	-0.014979	356.953125	-0.129037	0	0	0	0	-0.010796	0.01563	-0.004834	0
197.578125	243.046875	0.853488	11.75804	0.010255	-0.019551	356.953125	-0.180258	0	0	0	0	-0.018853	0.014019	0.004834	0
197.567139	242.893066	0.585034	11.75804	-0.002191	-0.01144	356.953125	-0.088464	0	0	0	0	-0.017241	0.004351	0.012891	0
197.589111	243.200684	0.709636	11.75804	0.000861	-0.013465	356.953125	-0.050378	0	0	0	0	-0.01563	0.005962	0.009668	0
197.600098	243.354492	0.638672	11.75804	-0.005501	-0.011233	356.953125	-0.059595	0	0	0	0	-0.007573	0.012407	-0.004834	0
197.600098	243.354492	0.941016	11.7649	-0.002392	-0.013279	356.953125	-0.036883	0	0	0	0	-0.005962	0.01563	-0.009668	0
197.600098	243.354492	0.663809	11.75804	-0.00062	-0.010587	356.953125	-0.065474	0	0	0	0	-0.010796	0.012407	-0.001611	0
197.600098	243.354492	0.780534	11.77176	0.00715	-0.015702	356.953125	-0.156305	0	0	0	0	-0.012407	0.014019	-0.001611	0
197.62207	243.662109	0.885586	11.7649	-0.002582	-0.015123	356.953125	-0.041757	0	0	0	0	-0.005962	0.01563	-0.009668	0
197.62207	243.662109	0.613922	11.7649	-0.005204	-0.005633	356.953125	-0.056092	0	0	0	0	-0.012407	0.009185	0.003223	0
197.611084	243.508301	0.552529	11.75804	0.004347	-0.008096	356.953125	-0.116348	0	0	0	0	-0.009185	0.004351	0.004834	0
197.611084	243.508301	0.497277	11.75804	-0.005645	-0.013076	356.953125	-0.062859	0	0	0	0	-0.009185	0.014019	-0.004834	0
197.611084	243.508301	0.630654	11.7649	-0.005758	-0.014933	356.953125	-0.093242	0	0	0	0	-0.010796	0.001128	0.009668	0
197.62207	243.662109	0.750694	11.7649	-0.000796	-0.012441	356.953125	-0.038003	0	0	0	0	-0.009185	0.018853	-0.009668	0
197.62207	243.662109	0.675625	11.75118	-0.005323	-0.00749	356.953125	-0.072762	0	0	0	0	-0.004351	0.009185	-0.004834	0
197.62207	243.662109	0.424957	11.7649	0.010282	-0.015946	356.953125	-0.128967	0	0	0	0	-0.004351	0.009185	-0.004834	0
197.62207	243.662109	0.199356	11.7649	-0.009015	-0.014711	356.953125	-0.02993	0	0	0	0	-0.007573	0.009185	-0.001611	0
197.633057	243.815918	0.17942	11.7649	-0.000458	-0.006869	356.953125	-0.013947	0	0	0	0	-0.005962	0.005962	0	0
197.633057	243.815918	0.344584	11.7649	-0.007013	-0.008297	356.953125	-0.058281	0	0	0	0	-0.005962	0.009185	-0.003222	0
197.62207	243.662109	0.310125	11.7649	0.000753	-0.013472	356.953125	-0.11931	0	0	0	0	-0.012407	0.010796	0.001612	0
197.62207	243.662109	0.096007	11.7649	-0.006753	-0.010584	356.953125	-0.059275	0	0	0	0	-0.009185	0.009185	0	0
197.62207	243.662109	0.269512	11.77176	0.00528	-0.018423	356.953125	-0.163766	0	0	0	0	-0.018853	0.012407	0.006446	0
197.62207	243.662109	0.059455	11.77176	0.011949	-0.015121	356.953125	-0.156692	0	0	0	0	-0.018853	0.005962	0.012891	0
197.633057	243.815918	0.236615	11.77176	-0.002004	-0.005834	356.953125	-0.067826	0	0	0	0	-0.004351	0.005962	-0.001611	0
197.62207	243.662109	0.396059	11.7649	0.001466	-0.002331	356.953125	-0.059485	0	0	0	0	-0.002739	0.001128	0.001612	0
197.633057	243.815918	0.539559	11.77176	0.010982	-0.004835	356.953125	-0.084342	0	0	0	0	-0.009185	-0.002095	0.011279	0
197.62207	243.662109	0.668708	11.7649	0.007185	-0.013884	356.953125	-0.152398	0	0	0	0	-0.01563	0.007573	0.008057	0
197.62207	243.662109	0.418732	11.7649	-0.003774	-0.008521	356.953125	-0.09027	0	0	0	0	-0.005962	0.009185	-0.003222	0
197.62207	243.662109	0.559964	11.77176	-0.008777	-0.010998	356.953125	0.018897	0	0	0	0	-0.005962	0.014019	-0.008056	0
197.62207	243.662109	0.687073	11.7649	0.00909	-0.009345	356.953125	-0.176831	0	0	0	0	-0.012407	0.002739	0.009668	0
197.633057	243.815918	0.435261	11.77176	-0.003797	-0.008511	356.953125	-0.05715	0	0	0	0	-0.005962	0.009185	-0.003222	0
197.633057	243.815918	0.391735	11.7649	0.013455	-0.016188	356.953125	-0.088184	0	0	0	0	-0.010796	0.004351	0.006446	0
197.633057	243.815918	0.169456	11.75804	0.007395	-0.01019	356.953125	-0.10916	0	0	0	0	-0.012407	0.004351	0.008057	0
197.633057	243.815918	0.335616	11.7649	0.003684	-0.017401	356.953125	-0.166713	0	0	0	0	-0.017241	0.012407	0.004834	0
197.633057	243.815918	0.485159	11.7649	0.00084	-0.011617	356.953125	-0.073043	0	0	0	0	-0.010796	0.009185	0.001612	0
197.633057	243.815918	0.802854	11.77176	-0.002128	-0.00769	356.953125	0.010628	0	0	0	0	-0.005962	0.007573	-0.001611	0
197.611084	243.508301	0.539464	11.7649	-0.000535	-0.008729	356.953125	-0.031647	0	0	0	0	-0.007573	0.007573	0	0
197.62207	243.662109	0.302412	11.75804	-0.003656	-0.006664	356.953125	-0.072165	0	0	0	0	-0.004351	0.007573	-0.003222	0
197.62207	243.662109	0.272171	11.7649	0.008852	-0.013058	356.953125	-0.248447	0	0	0	0	-0.01563	0.005962	0.009668	0
197.62207	243.662109	0.428059	11.7649	-0.008539	-0.007284	356.953125	0.005681	0	0	0	0	-0.002739	0.010796	-0.008056	0
197.62207	243.662109	0.202148	11.77176	0.004087	-0.011821	356.953125	-0.105477	0	0	0	0	-0.012407	0.007573	0.004834	0
197.62207	243.662109	0.181933	11.7649	-0.002582	-0.015123	356.953125	-0.126042	0	0	0	0	-0.012407	0.014019	-0.001611	0
197.633057	243.815918	0.52995	11.75804	0.005602	-0.012867	356.953125	-0.198332	0	0	0	0	-0.014019	0.007573	0.006446	0
197.62207	243.662109	0.29385	11.7649	0.008852	-0.013058	356.953125	-0.251084	0	0	0	0	-0.01563	0.005962	0.009668	0
197.633057	243.815918	0.44757	11.7649	-0.000582	-0.008726	356.953125	-0.09823	0	0	0	0	-0.007573	0.007573	0	0
197.633057	243.815918	0.219708	11.75804	-0.005467	-0.009332	356.953125	-0.043766	0	0	0	0	-0.005962	0.010796	-0.004834	0
197.644043	243.969727	0.197737	11.77176	-0.000863	-0.012436	356.953125	-0.158993	0	0	0	0	-0.010796	0.010796	0	0
