机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
325.129395	234.997559	-2.197266	11.77176	-0.006628	0.007358	3.186035	-0.090043	0	0	0	0	0.004995	-0.000645	-0.00435	0
325.085449	234.382324	-2.709961	11.7649	-0.003864	0.006531	3.186035	-0.08018	0	0	0	0	0.008218	-0.003867	-0.00435	0
325.041504	233.76709	-2.988281	11.77176	0.002422	0.009363	3.186035	-0.179525	0	0	0	0	0.004995	-0.010313	0.005318	0
325.008545	233.305664	-3.055664	11.77176	-0.004917	0.003483	3.186035	-0.109003	0	0	0	0	0.001772	-0.003867	0.002095	0
324.975586	232.844238	-3.299414	11.77862	-0.00222	0.008629	3.186035	-0.110538	0	0	0	0	0.008218	-0.00709	-0.001127	0
324.920654	232.075195	-3.885	11.77176	0.004818	0.006755	3.186035	-0.168089	0	0	0	0	0.006606	-0.005479	-0.001127	0
324.876709	231.459961	-4.228922	11.77176	-0.008801	0.005775	3.186035	-0.02413	0	0	0	0	0.009829	-0.002256	-0.007573	0
324.84375	230.998535	-4.355346	11.77176	0.005034	0.003706	3.186035	-0.143409	0	0	0	0	0.004995	-0.002256	-0.002739	0
324.788818	230.229492	-4.652234	11.77862	-0.003725	0.007449	3.186035	-0.085694	0	0	0	0	0.01144	-0.003867	-0.007573	0
324.766846	229.921875	-4.553221	11.77862	0.004666	0.004835	3.186035	-0.173278	0	0	0	0	0.004995	-0.003867	-0.001127	0
324.7229	229.306641	-5.013426	11.77862	0.000764	0.007251	3.186035	-0.151152	0	0	0	0	0.008218	-0.005479	-0.002739	0
324.678955	228.691406	-5.244505	11.77862	-0.005634	0.004847	3.186035	-0.131107	0	0	0	0	-0.00145	-0.00709	0.00854	0
324.645996	228.22998	-5.269371	11.77862	-0.008078	0.000367	3.186035	-0.034338	0	0	0	0	0.009829	0.004189	-0.014018	0
324.624023	227.922363	-5.29175	11.77862	0.002146	0.003511	3.186035	-0.117679	0	0	0	0	0.004995	-0.002256	-0.002739	0
324.591064	227.460938	-5.128786	11.77862	0.005855	0.010764	3.186035	-0.265142	0	0	0	0	-0.003062	-0.015147	0.018208	0
324.569092	227.15332	-5.165224	11.77862	-0.006329	0.003463	3.186035	-0.08696	0	0	0	0	0.004995	-0.002256	-0.002739	0
324.558105	226.999512	-5.198018	11.78548	0.002983	0.002582	3.186035	-0.195137	0	0	0	0	-0.00145	-0.003867	0.005318	0
324.536133	226.691895	-5.227533	11.77862	0.000364	-0.008904	3.186035	-0.109173	0	0	0	0	-0.00145	0.010635	-0.009184	0
324.51416	226.384277	-5.070991	11.77862	0.008848	-0.00025	3.186035	-0.229426	0	0	0	0	-0.00145	-0.002256	0.003707	0
324.492188	226.07666	-4.746997	11.78548	0.000808	-0.001734	3.186035	-0.095504	0	0	0	0	0.004995	0.004189	-0.009184	0
324.481201	225.922852	-4.455403	11.77862	-0.014368	-0.006413	3.186035	-0.019967	0	0	0	0	-0.00145	0.007412	-0.005961	0
324.492188	226.07666	-4.009862	11.77862	0.004384	-0.008977	3.186035	-0.25212	0	0	0	0	-0.009507	0.007412	0.002095	0
324.459229	225.615234	-3.975087	11.78548	-0.003984	0.00007	3.186035	-0.086872	0	0	0	0	-0.00145	-0.000645	0.002095	0
