机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
325.074463	233.510742	-3.662109	11.7649	0.045627	-0.001926	2.468262	0	-0.168096	0	0	0	-0.025459	-0.016435	0.041894	0
324.9646	231.972656	-5.126953	11.75804	0.004344	0.005403	2.468262	0	-0.289792	0	0	0	-0.001289	-0.008379	0.009667	0
324.854736	230.43457	-6.262207	11.7649	0.006603	-0.000397	2.468262	0	-0.255592	0	0	0	-0.001289	-0.006767	0.008056	0
324.755859	229.050293	-7.10083	11.7649	0.002739	0.002804	2.468262	0	-0.262881	0	0	0	-0.0029	-0.000322	0.003222	0
324.645996	227.512207	-8.038696	11.7649	0.011133	0.001894	2.468262	0	-0.272338	0	0	0	0.000323	-0.000322	0	0
324.558105	226.281738	-8.882776	11.7649	0.007517	-0.002458	2.468262	0	-0.268628	0	0	0	-0.004511	0.001289	0.003222	0
324.437256	224.589844	-9.825553	11.7649	0.007597	-0.002855	2.468262	0	-0.202112	0	0	0	-0.010957	-0.000322	0.011279	0
324.327393	223.051758	-10.674052	11.7649	0.009681	0.001394	2.468262	0	-0.304578	0	0	0	-0.0029	-0.006767	0.009667	0
324.217529	221.513672	-11.254597	11.7649	0.007711	-0.00782	2.468262	0	-0.164459	0	0	0	-0.0029	0.002901	0	0
324.118652	220.129395	-11.777086	11.7649	0.003602	-0.005227	2.468262	0	-0.207878	0	0	0	-0.0029	0.002901	0	0
323.997803	218.4375	-12.613538	11.7649	0.002649	0.000711	2.468262	0	-0.343902	0	0	0	-0.006123	-0.001933	0.008056	0
323.876953	216.745605	-13.000134	11.7649	0.01056	-0.006277	2.468262	0	-0.220955	0	0	0	-0.004511	0.006123	-0.001612	0
323.778076	215.361328	-13.348069	11.7649	0.007254	0.002677	2.468262	0	-0.273291	0	0	0	-0.006123	-0.003545	0.009667	0
323.690186	214.130859	-13.844316	11.7649	0.00204	-0.000569	2.468262	0	-0.191243	0	0	0	-0.010957	-0.000322	0.011279	0
323.591309	212.746582	-13.924728	11.7649	-0.01047	0.00033	2.468262	0	-0.22497	0	0	0	0.000323	-0.000322	0	0
323.503418	211.516113	-13.630888	11.7649	-0.000178	0.000327	2.468262	0	-0.214811	0	0	0	0.001934	-0.000322	-0.001612	0
323.4375	210.593262	-13.366432	11.77176	0.015614	-0.001451	2.468262	0	-0.15568	0	0	0	-0.012568	0.006123	0.006445	0
323.360596	209.516602	-13.494633	11.77176	0.011001	-0.002808	2.468262	0	-0.109398	0	0	0	-0.006123	0.009346	-0.003223	0
323.294678	208.59375	-13.426908	11.77176	0.005465	0.002358	2.468262	0	-0.177487	0	0	0	-0.012568	-0.001933	0.014501	0
323.22876	207.670898	-13.18285	11.77176	0.012814	0.000844	2.468262	0	-0.17529	0	0	0	-0.006123	-0.000322	0.006445	0
323.173828	206.901855	-12.413881	11.77176	0.013324	-0.011	2.468262	0	-0.019289	0	0	0	-0.004511	0.010957	-0.006446	0
323.140869	206.44043	-11.721809	11.77862	0.00845	-0.003995	2.468262	0	-0.089314	0	0	0	-0.006123	-0.000322	0.006445	0
323.129883	206.286621	-10.732734	11.77176	0.011351	-0.005399	2.468262	0	-0.014431	0	0	0	-0.009345	0.006123	0.003222	0
323.096924	205.825195	-10.208776	11.7649	-0.001127	-0.000949	2.468262	0	-0.005519	0	0	0	-0.004511	0.001289	0.003222	0
323.096924	205.825195	-9.55411	11.77176	0.005605	-0.00247	2.468262	0	-0.019192	0	0	0	-0.006123	0.002901	0.003222	0
323.085938	205.671387	-8.96491	11.77176	0.003743	-0.002625	2.468262	0	-0.043142	0	0	0	-0.004511	0.002901	0.001611	0
323.085938	205.671387	-8.434629	11.77176	0.009553	-0.005418	2.468262	0	0.029391	0	0	0	-0.010957	0.006123	0.004834	0
323.10791	205.979004	-7.591166	11.7649	-0.005099	-0.009727	2.468262	0	0.085085	0	0	0	0.000323	0.009346	-0.009668	0
323.118896	206.132813	-6.83205	11.7649	-0.003486	-0.006373	2.468262	0	0.018019	0	0	0	0.000323	0.006123	-0.006446	0
323.129883	206.286621	-5.782634	11.77176	-0.003503	-0.006363	2.468262	0	-0.003523	0	0	0	0.000323	0.006123	-0.006446	0
323.140869	206.44043	-5.20437	11.7649	0.010536	0.007436	2.468262	0	-0.052829	0	0	0	-0.006123	-0.006767	0.01289	0
