机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
43.692627	239.25293	-0.366211	11.77176	0.056459	-0.004474	347.556152	0	0.089545	0	0	0	-0.03271	-0.02852	0.056396	0
43.659668	238.791504	-0.512695	11.77862	0.016082	0.001642	347.556152	0	-0.00834	0	0	0	-0.00854	-0.007573	0.016113	0
43.659668	238.791504	-0.827637	11.77862	0.0162	-0.003939	347.556152	0	0.055159	0	0	0	-0.006929	-0.005962	0.01289	0
43.615723	238.17627	-1.294189	11.77862	0.01466	-0.004746	347.556152	0	0.064457	0	0	0	-0.005317	-0.005962	0.011279	0
43.582764	237.714844	-1.347876	11.77862	0.010959	0.008258	347.556152	0	-0.059003	0	0	0	-0.006929	-0.005962	0.01289	0
43.549805	237.253418	-1.762405	11.77862	0.011605	-0.006522	347.556152	0	0.018419	0	0	0	-0.006929	-0.007573	0.014502	0
43.516846	236.791992	-2.135481	11.77862	0.014562	-0.000675	347.556152	0	-0.006046	0	0	0	-0.010151	-0.005962	0.016113	0
43.483887	236.330566	-2.471249	11.78548	0.017664	0.001506	347.556152	0	0.006871	0	0	0	-0.00854	0.002095	0.006445	0
43.439941	235.715332	-3.139652	11.77862	0.016813	0.012828	347.556152	0	-0.095987	0	0	0	-0.002095	-0.005962	0.008056	0
43.395996	235.100098	-3.375003	11.77862	0.013527	-0.00687	347.556152	0	0.115604	0	0	0	-0.018208	0.002095	0.016113	0
43.341064	234.331055	-3.95303	11.77862	0.012699	0.002569	347.556152	0	-0.06119	0	0	0	-0.000483	-0.009184	0.009668	0
43.308105	233.869629	-3.923938	11.77862	0.02039	0.006307	347.556152	0	-0.115741	0	0	0	-0.003706	-0.012407	0.016113	0
43.253174	233.100586	-4.447072	11.77862	0.021868	-0.00635	347.556152	0	0.014555	0	0	0	-0.013374	-0.005962	0.019336	0
43.220215	232.63916	-4.551681	11.78548	0.018007	-0.001051	347.556152	0	-0.015567	0	0	0	-0.018208	-0.007573	0.025781	0
43.165283	231.870117	-5.01204	11.78548	0.018283	-0.002651	347.556152	0	-0.084938	0	0	0	-0.023042	-0.005962	0.029004	0
43.121338	231.254883	-5.243258	11.78548	0.021532	0.008395	347.556152	0	-0.107952	0	0	0	-0.006929	-0.001128	0.008056	0
43.066406	230.48584	-5.451354	11.78548	0.017214	-0.005227	347.556152	0	0.019548	0	0	0	-0.011763	-0.012407	0.02417	0
43.011475	229.716797	-5.63864	11.79234	0.024712	-0.000811	347.556152	0	-0.035669	0	0	0	-0.010151	0.000484	0.009668	0
42.978516	229.255371	-5.624092	11.78548	0.012399	-0.004844	347.556152	0	-0.01058	0	0	0	-0.00854	-0.00435	0.01289	0
42.93457	228.640137	-5.794105	11.78548	0.014511	0.001397	347.556152	0	-0.082338	0	0	0	-0.005317	-0.007573	0.01289	0
42.879639	227.871094	-5.947116	11.78548	0.013893	-0.003295	347.556152	0	-0.003374	0	0	0	-0.00854	-0.002739	0.011279	0
42.84668	227.409668	-6.084826	11.78548	0.011738	-0.00081	347.556152	0	-0.036159	0	0	0	-0.013374	-0.007573	0.020947	0
42.780762	226.486816	-6.39187	11.79234	0.017147	0.004503	347.556152	0	-0.15031	0	0	0	-0.000483	-0.010796	0.011279	0
42.747803	226.025391	-6.302	11.79234	0.016643	0.006492	347.556152	0	-0.075374	0	0	0	-0.006929	-0.010796	0.017724	0
42.703857	225.410156	-6.404222	11.79234	0.015346	-0.001389	347.556152	0	-0.045928	0	0	0	-0.011763	-0.002739	0.014502	0
42.659912	224.794922	-6.313116	11.78548	0.017159	-0.001699	347.556152	0	-0.046532	0	0	0	-0.013374	-0.002739	0.016113	0
42.615967	224.179688	-6.231121	11.77862	0.022871	0.002033	347.556152	0	-0.02384	0	0	0	-0.014985	-0.007573	0.022558	0
42.583008	223.718262	-6.523536	11.78548	0.006865	-0.000515	347.556152	0	0.056712	0	0	0	-0.005317	-0.001128	0.006445	0
42.539063	223.103027	-6.420499	11.78548	0.01539	-0.00077	347.556152	0	-0.012374	0	0	0	-0.011763	-0.002739	0.014502	0
42.51709	222.79541	-6.14466	11.78548	0.019186	0.003409	347.556152	0	-0.03899	0	0	0	-0.011763	-0.007573	0.019336	0
42.473145	222.180176	-6.07951	11.78548	0.014262	0.003021	347.556152	0	-0.012033	0	0	0	-0.00854	-0.005962	0.014502	0
42.440186	221.71875	-6.020875	11.78548	0.01344	-0.009864	347.556152	0	0.047494	0	0	0	-0.016597	0.006929	0.009668	0
42.407227	221.257324	-5.968104	11.77862	0.017861	0.002524	347.556152	0	-0.118096	0	0	0	-0.011763	-0.005962	0.017724	0
42.374268	220.795898	-5.92061	11.78548	0.020891	-0.001195	347.556152	0	-0.042569	0	0	0	-0.016597	-0.002739	0.019336	0
42.341309	220.334473	-5.877866	11.77862	0.013579	0.000308	347.556152	0	-0.024781	0	0	0	-0.010151	-0.002739	0.01289	0
42.319336	220.026855	-5.65629	11.77862	0.02027	0.000834	347.556152	0	-0.045917	0	0	0	-0.014985	-0.00435	0.019336	0
42.30835	219.873047	-5.456872	11.77862	0.018522	-0.003714	347.556152	0	-0.001692	0	0	0	-0.016597	0.000484	0.016113	0
42.264404	219.257813	-5.460501	11.78548	0.017243	-0.000035	347.556152	0	-0.002893	0	0	0	-0.013374	-0.002739	0.016113	0
42.242432	218.950195	-5.097557	11.77862	0.026433	-0.00139	347.556152	0	0.026267	0	0	0	-0.021431	-0.002739	0.02417	0
42.231445	218.796387	-4.954012	11.77862	0.010561	-0.000493	347.556152	0	-0.004486	0	0	0	-0.00854	-0.001128	0.009668	0
