机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
278.261719	291.503906	-125.323257	12.32742	0.02075	-0.033114	355.839844	0.192275	-5	0	0	0	-0.023203	-0.01563	0.038833	0
277.371826	279.04541	-126.157631	12.32742	-0.025757	-0.438721	355.839844	-0.486858	1	0	0	0	-0.437314	0.180952	0.256362	0
276.273193	263.664551	-131.119995	12.33428	0.018806	0.435929	355.839844	0.820214	1	0	0	0	0.431192	-0.273442	-0.157749	0
275.614014	254.436035	-129.177429	12.32742	0.119837	0.387314	355.839844	0.718091	1	0	0	0	0.340957	-0.360454	0.019497	0
275.438232	251.975098	-119.555588	12.32742	0.114031	0.226211	355.839844	0.358487	1	0	0	0	0.179825	-0.244438	0.064614	0
275.559082	253.666992	-106.501396	12.32742	0.080905	0.106992	355.839844	0.116339	1	0	0	0	0.079922	-0.133257	0.053335	0
275.778809	256.743164	-92.189148	12.32742	0.051731	0.059534	355.839844	0.092375	1	0	0	0	0.046084	-0.078472	0.032387	0
276.130371	261.665039	-78.209488	12.33428	0.035519	0.032238	355.839844	0.019812	1	0	0	0	0.026748	-0.047856	0.021108	0
276.427002	265.817871	-65.261589	12.33428	0.023725	0.03017	355.839844	0.021623	1	0	0	0	0.02836	-0.036577	0.008217	0
276.789551	270.893555	-53.242268	12.32742	0.034346	0.006878	355.839844	-0.173753	1	0	0	0	0.007412	-0.033354	0.025942	0
277.1521	275.969238	-42.241772	12.32742	0.025903	0.007985	355.839844	0.021393	1	0	0	0	0.010635	-0.026909	0.016274	0
277.525635	281.19873	-32.158218	12.32056	0.031398	0.006268	355.839844	-0.020202	-5	0	0	0	0.012246	-0.031743	0.019497	0
277.756348	284.428711	-24.547865	12.32742	0.002455	-0.78495	355.839844	-0.130755	1	0	0	0	-0.75958	0.208345	0.551235	0
277.294922	277.96875	-28.50177	12.32742	0.016872	0.188978	355.839844	0.177035	-5	0	0	0	0.189493	-0.086528	-0.102964	0
276.734619	270.124512	-33.891338	12.32742	0.033081	-0.530844	355.839844	-0.35969	1	0	0	0	-0.530771	0.235737	0.295034	0
275.910645	258.588867	-44.05201	12.33428	0.018806	0.338478	355.839844	0.304839	-5	0	0	0	0.328067	-0.237993	-0.090074	0
275.196533	248.591309	-50.266926	12.32056	0.032414	-0.455286	355.839844	-0.320852	1	0	0	0	-0.435703	0.33564	0.100063	0
274.361572	236.901855	-58.790039	12.32742	0.030012	0.372706	355.839844	0.379948	-5	0	0	0	0.29584	-0.345952	0.050112	0
273.636475	226.750488	-63.897362	12.32742	0.025811	-0.432321	355.839844	-0.238997	1	0	0	0	-0.332578	0.406538	-0.07396	0
272.768555	214.599609	-70.691223	12.32742	0.024041	0.374233	355.839844	0.589709	-5	0	0	0	0.192715	-0.374956	0.182241	0
272.087402	205.063477	-73.876007	12.32742	0.014632	-0.434282	355.839844	-0.240061	1	0	0	0	-0.197226	0.433931	-0.236704	0
271.274414	193.681641	-79.488892	12.33428	0.025043	0.386274	355.839844	0.514803	-5	0	0	0	0.067032	-0.363677	0.296645	0
270.604248	184.299316	-81.610802	12.32056	0.02206	-0.424461	355.839844	-0.269924	-5	0	0	0	-0.053818	0.392036	-0.338218	0
269.571533	169.841309	-88.09816	12.32056	-0.011144	-0.372672	355.839844	-0.46741	-5	0	0	0	0.0767	0.277632	-0.354331	0
268.077393	148.92334	-102.176529	12.32742	-0.029135	-0.246963	355.839844	-0.166835	1	0	0	0	0.152432	0.09394	-0.246372	0
266.583252	128.005371	-116.861221	12.32742	0.056649	0.653879	355.839844	1.404922	-5	0	0	0	-0.550107	-0.034966	0.585073	0
265.473633	112.470703	-122.020805	12.32742	0.06528	-0.244269	355.839844	0.205091	-5	0	0	0	0.200772	0.03271	-0.233482	0
264.144287	93.859863	-129.594116	12.33428	-0.020332	-0.290296	355.839844	-0.007209	-5	0	0	0	0.291006	-0.146147	-0.144859	0
262.485352	70.634766	-142.452576	12.33428	-0.032543	-0.19863	355.839844	0.010339	1	0	0	0	0.176602	-0.171929	-0.004673	0
260.793457	46.948242	-154.757614	12.32742	0.063912	0.686829	355.839844	2.013115	-5	0	0	0	-0.458261	0.67563	-0.217369	0
259.705811	31.721191	-157.226196	12.32056	0.088417	-0.263326	355.839844	0.20086	-5	0	0	0	0.213662	-0.260552	0.046889	0
258.42041	13.725586	-160.91275	12.32742	-0.036659	-0.337523	355.839844	-0.240943	-5	0	0	0	0.044473	-0.313726	0.269253	0
256.860352	351.884766	-168.075867	12.33428	-0.054912	-0.247268	355.839844	-0.180414	1	0	0	0	-0.089267	-0.160649	0.249917	0
255.300293	330.043945	-175.804413	12.32742	0.075179	0.620143	355.839844	1.777144	1	0	0	0	0.374795	0.245405	-0.620201	0
254.432373	317.893066	-173.421722	12.32742	0.20489	0.478854	355.839844	1.421421	-5	0	0	0	0.473086	-0.047856	-0.42523	0
253.937988	310.97168	-163.586868	12.32742	0.040563	-0.524791	355.839844	-0.499868	1	0	0	0	-0.369638	-0.139702	0.50934	0
253.190918	300.512695	-158.580719	12.33428	0.021645	0.311935	355.839844	0.70904	1	0	0	0	0.279727	-0.018853	-0.260874	0
252.729492	294.052734	-150.779282	12.32742	0.112961	0.310607	355.839844	0.680767	-5	0	0	0	0.329678	-0.144536	-0.185142	0
252.46582	290.361328	-139.912781	12.32742	-0.014714	-0.589903	355.839844	-0.574735	-5	0	0	0	-0.558164	0.113276	0.444887	0
251.663818	279.133301	-136.907837	12.32742	-0.086829	-0.515467	355.839844	-0.796513	-5	0	0	0	-0.522714	0.264741	0.257973	0
250.3125	260.214844	-143.541763	12.32742	-0.07327	-0.320692	355.839844	-0.693344	1	0	0	0	-0.303574	0.261519	0.042055	0
248.752441	238.374023	-154.456146	12.33428	0.035989	0.611824	355.839844	1.530645	1	0	0	0	0.50209	-0.555425	0.053335	0
247.796631	224.992676	-154.940704	12.32742	0.17857	0.535516	355.839844	1.399295	-5	0	0	0	0.252334	-0.563481	0.311147	0
247.247314	217.302246	-148.052597	12.32742	0.057784	-0.467627	355.839844	-0.501389	1	0	0	0	-0.329355	0.456489	-0.127134	0
246.500244	206.843262	-144.78299	12.33428	0.035023	0.353251	355.839844	0.648011	-5	0	0	0	0.128262	-0.350786	0.222524	0
