机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
298.894043	213.303223	120.656998	12.19022	0.023144	0.039337	348.786621	-0.130862	0	0	0	0	0.002256	-0.040606	0.03835	0
299.597168	223.146973	120.126945	12.20394	0.050803	-0.229955	348.786621	0.30278	4	0	0	0	-0.194326	0.212373	-0.018047	0
300.157471	230.991211	116.720207	12.19022	0.009073	0.342037	348.786621	-0.425191	4	0	0	0	0.260069	-0.322588	0.06252	0
301.014404	242.988281	117.682465	12.19708	-0.026611	0.30005	348.786621	-0.565357	4	0	0	0	0.279404	-0.237188	-0.042217	0
302.189941	259.445801	123.49234	12.19022	-0.028218	0.192085	348.786621	-0.481674	4	0	0	0	0.194004	-0.103447	-0.090557	0
303.54126	278.364258	131.83403	12.19022	-0.005588	0.115479	348.786621	-0.428398	4	0	0	0	0.113438	-0.037383	-0.076055	0
305.046387	299.436035	142.454346	12.19022	0.002844	0.071293	348.786621	-0.46301	4	0	0	0	0.063486	-0.003545	-0.059941	0
306.639404	321.738281	152.195724	12.19708	0.018208	0.027393	348.786621	-0.335567	4	0	0	0	0.03126	-0.006768	-0.024492	0
308.166504	343.117676	161.329178	12.19022	0.026401	0.020651	348.786621	-0.343595	4	0	0	0	0.03126	-0.005156	-0.026103	0
309.748535	5.266113	169.549286	12.19708	0.020615	0.041075	348.786621	-0.334048	4	0	0	0	0.016758	0.028681	-0.045439	0
311.297607	26.953125	176.214966	12.19708	0.009482	0.059885	348.786621	-0.291548	4	0	0	0	-0.018691	0.059297	-0.040605	0
312.813721	48.178711	182.946503	12.19708	0.010175	0.070943	348.786621	-0.590192	0	0	0	0	-0.046084	0.070576	-0.024492	0
314.241943	68.173828	186.990723	12.19708	0.091735	-0.474266	348.786621	0.954071	4	0	0	0	0.474375	-0.316143	-0.158232	0
315.20874	81.708984	184.588043	12.19022	0.07695	0.188052	348.786621	-0.339375	0	0	0	0	-0.17499	0.176924	-0.001934	0
316.208496	95.705566	181.14389	12.1765	0.066928	-0.29396	348.786621	0.466714	4	0	0	0	0.28585	-0.059942	-0.225908	0
316.94458	106.010742	174.748245	12.19022	0.040035	0.284556	348.786621	-0.660192	0	0	0	0	-0.28456	0.107637	0.176924	0
317.823486	118.31543	171.006332	12.19022	0.029572	-0.249117	348.786621	0.378565	4	0	0	0	0.205283	0.022236	-0.22752	0
318.515625	128.005371	165.25824	12.19708	0.015014	0.294193	348.786621	-0.56901	0	0	0	0	-0.241055	-0.026104	0.267158	0
319.405518	140.463867	162.282227	12.19708	0.033807	-0.249537	348.786621	0.268831	4	0	0	0	0.132774	0.118916	-0.251689	0
320.196533	151.538086	157.955856	12.19022	0.014117	0.303949	348.786621	-0.576937	0	0	0	0	-0.157265	-0.146953	0.304219	0
321.097412	164.150391	156.076294	12.20394	0.040079	-0.249729	348.786621	0.117219	4	0	0	0	0.029649	0.202705	-0.232353	0
321.866455	174.916992	152.91983	12.19708	0.013849	0.291698	348.786621	-0.666127	0	0	0	0	-0.039639	-0.230742	0.270381	0
322.745361	187.22168	151.543869	12.19708	0.030245	-0.256084	348.786621	0.15023	0	0	0	0	-0.062197	0.247822	-0.185625	0
323.393555	196.296387	147.009598	12.19022	0.094802	-0.241918	348.786621	0.311941	0	0	0	0	-0.158877	0.25749	-0.098613	0
323.76709	201.525879	138.35112	12.19708	0.074139	-0.135248	348.786621	0.308066	4	0	0	0	-0.118594	0.144697	-0.026104	0
324.041748	205.371094	128.727432	12.19022	0.001709	0.46766	348.786621	-0.725163	0	0	0	0	0.198838	-0.465996	0.267158	0
324.656982	213.984375	124.826859	12.19708	-0.008163	-0.149325	348.786621	0.044381	0	0	0	0	-0.076699	0.149531	-0.072832	0
325.129395	220.598145	120.40081	12.19708	0.038779	-0.174136	348.786621	0.244662	0	0	0	0	-0.142764	0.164033	-0.02127	0
325.38208	224.135742	112.755264	12.19708	0.04921	-0.09182	348.786621	0.148114	4	0	0	0	-0.099258	0.077021	0.022236	0
325.579834	226.904297	103.677002	12.19022	-0.012557	0.507697	348.786621	-0.568242	0	0	0	0	0.379307	-0.48211	0.102803	0
326.140137	234.748535	101.91526	12.19708	-0.002467	-0.135128	348.786621	0.010052	0	0	0	0	-0.108926	0.12375	-0.014824	0
326.590576	241.054688	99.231056	12.19708	0.038562	-0.163912	348.786621	0.102446	0	0	0	0	-0.162099	0.120527	0.041572	0
326.799316	243.977051	92.970062	12.19022	0.049848	-0.091498	348.786621	0.104467	4	0	0	0	-0.104092	0.048017	0.056074	0
326.942139	245.976563	85.504112	12.19708	0.000762	0.505589	348.786621	-0.502903	4	0	0	0	0.461485	-0.4096	-0.051885	0
327.557373	254.589844	85.742767	12.19708	-0.020648	0.414503	348.786621	-0.857435	0	0	0	0	0.405088	-0.280694	-0.124395	0
328.480225	267.509766	92.000031	12.19708	0.002	-0.281517	348.786621	0.103421	4	0	0	0	-0.281338	0.149531	0.131807	0
329.282227	278.737793	95.251198	12.19708	0.036564	0.262393	348.786621	-0.649588	4	0	0	0	0.264903	-0.129229	-0.135674	0
330.26001	292.426758	100.740723	12.19022	-0.00927	0.243337	348.786621	-0.793713	0	0	0	0	0.221397	-0.022881	-0.198516	0
331.413574	308.57666	108.610985	12.19022	0.020276	-0.386349	348.786621	0.395073	0	0	0	0	-0.289394	-0.077666	0.367061	0
332.248535	320.266113	110.750374	12.19708	0.079466	-0.311379	348.786621	0.495469	0	0	0	0	-0.13793	-0.182403	0.320332	0
332.687988	326.418457	107.548874	12.19022	0.077811	-0.191774	348.786621	0.426213	4	0	0	0	-0.04125	-0.15501	0.19626	0
333.017578	331.032715	101.554726	12.19708	0.02012	0.414138	348.786621	-0.466421	4	0	0	0	0.218174	0.19626	-0.414434	0
333.775635	341.645508	102.568687	12.19022	-0.023108	0.32755	348.786621	-0.762717	0	0	0	0	0.081211	0.234931	-0.316143	0
334.874268	357.026367	108.974419	12.19708	0.02904	-0.329194	348.786621	0.205303	4	0	0	0	0.011924	-0.291973	0.280049	0
335.797119	9.946289	112.176102	12.19708	0.037491	0.23805	348.786621	-0.447704	0	0	0	0	-0.004189	0.210762	-0.206572	0
336.75293	23.327637	115.973137	12.19022	0.024315	-0.291119	348.786621	0.386912	0	0	0	0	0.137608	-0.291973	0.154365	0
337.434082	32.86377	115.911469	12.19708	0.079199	-0.252739	348.786621	0.360781	0	0	0	0	0.203672	-0.248467	0.044795	0
337.774658	37.631836	109.99659	12.19708	0.07092	-0.133384	348.786621	0.300468	0	0	0	0	0.137608	-0.122783	-0.014824	0
337.950439	40.092773	101.743515	12.19708	0.048877	-0.063037	348.786621	0.364773	4	0	0	0	0.077988	-0.053496	-0.024492	0
338.148193	42.861328	93.949532	12.19708	0.004131	0.496217	348.786621	-0.491486	4	0	0	0	-0.334512	0.484687	-0.150176	0
338.7854	51.782227	93.89296	12.19708	-0.04163	0.403243	348.786621	-0.637145	0	0	0	0	-0.342568	0.359004	-0.016436	0
339.785156	65.778809	99.884521	12.19708	0.00459	-0.261905	348.786621	0.153799	4	0	0	0	0.240733	-0.209795	-0.030937	0
340.576172	76.853027	102.896561	12.19708	0.007923	0.297379	348.786621	-0.371101	0	0	0	0	-0.287783	0.20915	0.078633	0
341.477051	89.465332	106.156708	12.19708	0.01794	-0.227684	348.786621	0.238136	0	0	0	0	0.227842	-0.100225	-0.127617	0
342.059326	97.617188	105.245628	12.19708	0.056709	-0.193561	348.786621	0.329427	0	0	0	0	0.184336	-0.02127	-0.163066	0
342.366943	101.923828	99.848022	12.19022	0.054219	-0.094451	348.786621	0.249407	4	0	0	0	0.081211	0.022236	-0.103447	0
342.597656	105.153809	93.342224	12.19022	0.005983	0.491847	348.786621	-0.456404	4	0	0	0	-0.476308	0.131806	0.344502	0
343.234863	114.074707	93.163277	12.19708	-0.028575	0.412681	348.786621	-0.802946	0	0	0	0	-0.365127	0.01418	0.350947	0
344.234619	128.071289	99.410912	12.19708	0.009425	-0.264051	348.786621	0.1238	0	0	0	0	0.202061	0.046406	-0.248467	0
344.981689	138.530273	101.005463	12.19708	0.062956	-0.252265	348.786621	0.300581	0	0	0	0	0.119883	0.139863	-0.259746	0
345.377197	144.067383	97.862923	12.1765	0.057883	-0.130389	348.786621	0.301266	0	0	0	0	0.029649	0.106025	-0.135674	0
345.574951	146.835938	91.372528	12.19708	0.051448	-0.047506	348.786621	0.201697	4	0	0	0	-0.01708	0.067353	-0.050273	0
345.772705	149.604492	84.798752	12.19708	0.007115	0.505696	348.786621	-0.523751	0	0	0	0	-0.262002	-0.243633	0.505635	0
346.376953	158.063965	85.474152	12.19708	0.001792	-0.122636	348.786621	0.029017	0	0	0	0	0.044151	0.077021	-0.121172	0
346.882324	165.13916	84.983376	12.19708	0.049144	-0.168871	348.786621	0.142727	4	0	0	0	-0.004189	0.154365	-0.150176	0
347.277832	170.67627	81.978203	12.20394	0.010672	0.438248	348.786621	-0.514518	4	0	0	0	-0.081533	-0.332256	0.413789	0
348.046875	181.442871	85.316025	12.19708	-0.016116	0.345657	348.786621	-0.75985	4	0	0	0	0.024815	-0.311309	0.286494	0
349.266357	198.515625	95.094971	12.19708	-0.003487	0.21995	348.786621	-0.966476	4	0	0	0	0.073154	-0.21624	0.143086	0
350.727539	218.972168	107.558128	12.19022	0.001389	0.125716	348.786621	-0.773889	0	0	0	0	0.077988	-0.124395	0.046406	0
352.22168	239.890137	120.972237	12.20394	0.050525	-0.467287	348.786621	0.40186	0	0	0	0	-0.42958	0.379951	0.049629	0
353.210449	253.73291	125.171402	12.19708	0.105937	-0.379655	348.786621	0.613181	4	0	0	0	-0.394131	0.201094	0.193037	0
353.803711	262.038574	122.175743	12.19708	0.037245	0.324754	348.786621	-0.419375	4	0	0	0	0.316465	-0.229131	-0.087334	0
354.682617	274.343262	123.141762	12.19708	-0.030886	0.318106	348.786621	-0.72185	4	0	0	0	0.314854	-0.109893	-0.204961	0
355.924072	291.723633	129.504349	12.18336	-0.032144	0.200828	348.786621	-0.743985	0	0	0	0	0.174668	0.0029	-0.177568	0
357.242432	310.180664	137.794144	12.19708	0.033184	-0.400478	348.786621	0.546649	0	0	0	0	-0.28456	-0.103447	0.388008	0
358.110352	322.331543	137.747635	12.19708	0.106391	-0.339789	348.786621	0.755586	0	0	0	0	-0.123428	-0.22752	0.350947	0
358.516846	328.022461	131.113983	12.19708	0.100957	-0.184829	348.786621	0.482047	0	0	0	0	-0.012246	-0.175957	0.188203	0
358.703613	330.637207	121.298485	12.20394	0.067556	-0.082612	348.786621	0.37047	0	0	0	0	0.018369	-0.100225	0.081855	0
358.769531	331.560059	110.450378	12.19708	0.050793	-0.034911	348.786621	0.319918	0	0	0	0	0.028037	-0.061553	0.033516	0
358.80249	332.021484	99.771553	12.19708	0.041668	-0.022109	348.786621	0.199871	4	0	0	0	0.026426	-0.047051	0.020625	0
358.912354	333.55957	91.076134	12.19708	-0.009892	0.506259	348.786621	-0.401061	4	0	0	0	0.216563	0.288105	-0.504668	0
359.538574	342.32666	91.3069	12.19022	-0.038983	0.389849	348.786621	-0.576222	4	0	0	0	0.081211	0.291328	-0.372539	0
0.604248	357.246094	91.3069	12.21766	-0.030023	0.235125	348.786621	-0.436719	4	0	0	0	-0.018691	0.213984	-0.195293	0
2.054443	17.548828	104.881287	12.20394	-0.011656	0.137358	348.786621	-0.224645	4	0	0	0	-0.052529	0.13664	-0.084111	0
3.55957	38.620605	118.379974	12.19708	0.018191	0.091441	348.786621	-0.287496	0	0	0	0	-0.042861	0.093135	-0.050273	0
5.075684	59.846191	130.345688	12.19708	0.046699	-0.469306	348.786621	1.11166	0	0	0	0	0.429258	-0.383819	-0.045439	0
6.053467	73.535156	133.607513	12.19708	0.123586	-0.362361	348.786621	0.969186	4	0	0	0	0.382529	-0.177569	-0.204961	0
6.723633	82.91748	130.683777	12.19708	0.03815	0.341824	348.786621	-0.047298	4	0	0	0	-0.334512	0.236543	0.097969	0
7.613525	95.375977	130.982101	12.19708	-0.033625	0.327825	348.786621	-0.382853	0	0	0	0	-0.323232	0.106025	0.217207	0
8.756104	111.37207	136.194443	12.20394	0.022679	-0.301991	348.786621	0.631503	0	0	0	0	0.272959	-0.022881	-0.250078	0
9.569092	122.753906	135.758591	12.19708	0.085358	-0.264519	348.786621	0.73506	0	0	0	0	0.176279	0.097969	-0.274248	0
9.9646	128.291016	129.323853	12.20394	0.082211	-0.137581	348.786621	0.500092	0	0	0	0	0.057041	0.101191	-0.158232	0
10.162354	131.05957	119.321152	12.2108	0.060999	-0.039033	348.786621	0.29119	0	0	0	0	-0.010635	0.067353	-0.056719	0
10.217285	131.828613	108.487671	12.19708	0.040956	-0.007247	348.786621	0.155258	0	0	0	0	-0.021914	0.041572	-0.019658	0
10.272217	132.597656	98.188217	12.19708	0.033297	0.010098	348.786621	0.199695	0	0	0	0	-0.029971	0.030293	-0.000322	0
10.294189	132.905273	88.552498	12.20394	0.033351	0.009919	348.786621	0.128269	4	0	0	0	-0.029971	0.030293	-0.000322	0
10.404053	134.443359	80.978989	12.19708	-0.009554	0.545619	348.786621	-0.397755	4	0	0	0	-0.382851	-0.145342	0.528193	0
