机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
121.673584	237.355957	-1.647949	11.99128	0.04631	-0.003822	333.925781	0.297536	0	0	0	0	-0.028198	-0.017886	0.046084	0
121.651611	237.04834	-1.849365	11.99128	0.017364	-0.005066	333.925781	-0.106887	0	0	0	0	-0.013696	-0.003384	0.01708	0
121.640625	236.894531	-1.664429	11.99128	0.0124	-0.002495	333.925781	-0.149109	0	0	0	0	-0.008862	-0.003384	0.012246	0
121.629639	236.740723	-1.497986	11.98442	-0.01291	-0.011358	333.925781	-0.076204	0	0	0	0	-0.002417	0.015952	-0.013535	0
121.629639	236.740723	-1.348187	11.99128	-0.011037	-0.01591	333.925781	-0.034193	0	0	0	0	-0.007251	0.019175	-0.011924	0
121.629639	236.740723	-1.396474	11.99814	0.0065	-0.012116	333.925781	-0.097279	0	0	0	0	-0.013696	0.007895	-0.000644	0
121.629639	236.740723	-1.073721	11.99128	0.001727	-0.01332	333.925781	-0.200731	0	0	0	0	-0.012085	0.009507	-0.000644	0
121.629639	236.740723	-0.966349	12.005	-0.001596	-0.011645	333.925781	-0.254997	0	0	0	0	-0.008862	0.011118	-0.002256	0
121.618652	236.586914	-0.869714	11.99814	-0.001565	-0.01165	333.925781	-0.18583	0	0	0	0	-0.008862	0.011118	-0.002256	0
121.618652	236.586914	-0.782743	11.99814	-0.000566	-0.001338	333.925781	-0.14951	0	0	0	0	-0.000806	0.00145	-0.000644	0
121.618652	236.586914	-0.887574	11.99814	0.001098	-0.002171	333.925781	-0.155239	0	0	0	0	0.002417	0.003061	-0.005478	0
121.607666	236.433105	-0.981922	12.005	-0.005097	-0.000712	333.925781	-0.034625	0	0	0	0	0.002417	0.003061	-0.005478	0
121.59668	236.279297	-1.066835	11.99814	-0.00556	0.001145	333.925781	0.028277	0	0	0	0	0.004028	0.00145	-0.005478	0
121.59668	236.279297	-0.960152	11.99814	-0.00699	-0.00176	333.925781	-0.070975	0	0	0	0	0.002417	0.004673	-0.00709	0
121.59668	236.433105	-0.681031	11.99814	0.003117	-0.008567	333.925781	-0.108026	0	0	0	0	-0.008862	0.006284	0.002578	0
121.59668	236.279297	-0.612928	12.005	-0.00699	-0.00176	333.925781	-0.114027	0	0	0	0	0.002417	0.004673	-0.00709	0
121.59668	236.279297	-0.36853	12.005	0.00302	-0.006702	333.925781	-0.162191	0	0	0	0	-0.007251	0.004673	0.002578	0
121.59668	236.279297	-0.331677	12.01186	0.004326	-0.001956	333.925781	-0.17425	0	0	0	0	-0.004028	-0.000161	0.00419	0
