机械角度	电角度	转速	母线电压	D轴电流	Q轴电流	编码器零位	D轴电压	Q轴电压	D轴给定电流	Q轴给定电流	转速给定	A相电流	B相电流	C相电流	I15
249.279785	239.816895	-0.366211	11.99128	0.034139	0.006621	349.899902	0.441525	0	0	0	0	-0.01144	-0.02272	0.03416	0
249.257813	239.509277	-0.695801	11.99128	0.014832	-0.000803	349.899902	-0.01718	0	0	0	0	-0.008218	-0.006607	0.014824	0
249.246826	239.355469	-0.992432	11.99128	0.005104	0.004709	349.899902	-0.078164	0	0	0	0	0.00145	-0.006607	0.005156	0
249.23584	239.20166	-1.259399	11.99128	-0.004654	0.01017	349.899902	-0.063464	0	0	0	0	0.011118	-0.006607	-0.004512	0
249.213867	238.894043	-1.133459	11.99128	0.008252	0.006673	349.899902	-0.042163	0	0	0	0	0.00145	-0.009829	0.008379	0
249.191895	238.586426	-1.203219	11.99814	0.001726	0.008418	349.899902	-0.152694	0	0	0	0	0.006284	-0.008218	0.001934	0
249.180908	238.432617	-1.082897	11.99814	-0.009648	0.010904	349.899902	0.006462	0	0	0	0	0.014341	-0.004995	-0.009346	0
249.169922	238.278809	-1.157713	11.99128	-0.004593	0.002654	349.899902	-0.102065	0	0	0	0	0.011118	-0.006607	-0.004512	0
249.158936	238.125	-1.408152	11.99814	-0.001562	0.008326	349.899902	-0.068916	0	0	0	0	0.004673	0.004673	-0.009346	0
249.158936	238.125	-1.633548	11.99814	0.006399	0.011379	349.899902	-0.077269	0	0	0	0	-0.004995	-0.008218	0.013213	0
249.147949	237.971191	-1.653299	11.99814	-0.005987	-0.003935	349.899902	-0.024773	0	0	0	0	0.004673	0.003061	-0.007734	0
249.136963	237.817383	-1.487969	11.99814	0.003542	0.000135	349.899902	-0.047394	0	0	0	0	-0.001772	-0.001773	0.003545	0
249.136963	237.817383	-1.339172	11.99814	-0.007622	-0.003083	349.899902	0.030716	0	0	0	0	0.00145	0.006284	-0.007734	0
249.125977	237.663574	-1.205255	11.99814	-0.006194	0.00161	349.899902	0.066512	0	0	0	0	0.004673	0.00145	-0.006123	0
249.11499	237.509766	-1.45094	12.005	-0.007767	0.000594	349.899902	-0.047801	0	0	0	0	0.004673	0.003061	-0.007734	0
249.11499	237.509766	-1.488952	12.005	0.000484	-0.003704	349.899902	-0.062148	0	0	0	0	-0.003384	0.003061	0.000322	0
249.093018	237.202148	-1.523162	12.01186	-0.009425	0.001402	349.899902	-0.040399	0	0	0	0	0.006284	0.003061	-0.009346	0
249.104004	237.355957	-1.18774	12.005	0.001459	0.010312	349.899902	-0.132895	0	0	0	0	0.007896	-0.009829	0.001934	0
249.082031	237.04834	-1.252072	12.005	0.001979	-0.000829	349.899902	-0.108218	0	0	0	0	-0.001772	-0.000161	0.001934	0
249.082031	237.04834	-0.943759	12.005	0.003444	0.002041	349.899902	-0.1165	0	0	0	0	-0.000161	-0.003384	0.003545	0
249.082031	237.04834	-1.032489	12.005	-0.000952	-0.00657	349.899902	-0.104044	0	0	0	0	-0.004995	0.006284	-0.001289	0
249.082031	237.04834	-0.92924	12.01186	0.003636	-0.001675	349.899902	-0.125594	0	0	0	0	-0.003384	-0.000161	0.003545	0
249.071045	236.894531	-0.836316	12.01186	0.000322	0.000018	349.899902	-0.165511	0	0	0	0	-0.000161	-0.000161	-0.015791	0
